"ID","NAME"
"1","EWR"
"2","JFK"
"3","LGA"
"56","ABQ"
"57","ACK"
"58","ALB"
"59","ANC"
"60","ATL"
"61","AUS"
"62","AVL"
"63","BDL"
"64","BGR"
"65","BHM"
"66","BNA"
"67","BOS"
"68","BQN"
"69","BTV"
"70","BUF"
"71","BUR"
"72","BWI"
"73","BZN"
"74","CAE"
"75","CAK"
"76","CHO"
"77","CHS"
"78","CLE"
"79","CLT"
"80","CMH"
"81","CRW"
"82","CVG"
"83","DAY"
"84","DCA"
"85","DEN"
"86","DFW"
"87","DSM"
"88","DTW"
"89","EGE"
"90","EYW"
"91","FLL"
"92","GRR"
"93","GSO"
"94","GSP"
"95","HDN"
"96","HNL"
"97","HOU"
"98","IAD"
"99","IAH"
"100","ILM"
"101","IND"
"102","JAC"
"103","JAX"
"104","LAS"
"105","LAX"
"106","LEX"
"107","LGB"
"108","MCI"
"109","MCO"
"110","MDW"
"111","MEM"
"112","MHT"
"113","MIA"
"114","MKE"
"115","MSN"
"116","MSP"
"117","MSY"
"118","MTJ"
"119","MVY"
"120","MYR"
"121","OAK"
"122","OKC"
"123","OMA"
"124","ORD"
"125","ORF"
"126","PBI"
"127","PDX"
"128","PHL"
"129","PHX"
"130","PIT"
"131","PSE"
"132","PSP"
"133","PVD"
"134","PWM"
"135","RDU"
"136","RIC"
"137","ROC"
"138","RSW"
"139","SAN"
"140","SAT"
"141","SAV"
"142","SBN"
"143","SDF"
"144","SEA"
"145","SFO"
"146","SJC"
"147","SJU"
"148","SLC"
"149","SMF"
"150","SNA"
"151","SRQ"
"152","STL"
"153","STT"
"154","SYR"
"155","TPA"
"156","TUL"
"157","TVC"
"158","TYS"
"159","XNA"
